site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
ROM-292.04,LR43.1,LR,2015,2,222,2015-08-10,River,51.96365,-63.76629,Upriver
ROM-283.43,LR43.2,LR,2015,2,222,2015-08-10,River,51.9038,-63.79481,Upriver
ROM-282.54,LR43.3,LR,2015,2,222,2015-08-10,River,51.90346,-63.79881,Upriver
ROM-276.17,LR43.4,LR,2015,2,222,2015-08-10,River,51.8608,-63.78777,Upriver
ROM-275.32,LR43.5,LR,2015,2,222,2015-08-10,River,51.85574,-63.77905,Upriver
ROM-264.49,LR44,LR,2015,2,222,2015-08-10,River,51.7801,-63.71386,Upriver
ROM-200.11,LR45,LR,2015,2,223,2015-08-11,River,51.38594,-63.59067,Upriver
ROM-199.83,LR45.1,LR,2015,2,223,2015-08-11,River,51.38519,-63.58685,Upriver
ROM-181.17,LR46,LR,2015,2,223,2015-08-11,River,51.31017,-63.39682,Upriver
ROM-180.74,LR46.1,LR,2015,2,223,2015-08-11,River,51.30639,-63.39845,Upriver
ROM-174.30,LR47,LR,2015,2,223,2015-08-11,River,51.26144,-63.34465,Upriver
ROM-174.16,LR47.1,LR,2015,2,223,2015-08-11,River,51.25997,-63.34372,Upriver
ROM-022.05,LR48,LR,2015,2,223,2015-08-11,River,50.31302,-63.54258,Downriver
ROM-022.63,LR48.1,LR,2015,2,223,2015-08-11,River,50.31295,-63.53357,Downriver
ROM-041.89,LRH11,LR,2015,2,213,2015-08-01,River,50.31672,-63.3089,Downriver
ROM-026.36,LRH12,LR,2015,2,213,2015-08-01,River,50.31125,-63.48331,Downriver
ROM-018.82,LRH13,LR,2015,2,213,2015-08-01,River,50.30518,-63.58514,Downriver
ROM-000.22,LRH14,LR,2015,2,213,2015-08-01,River,50.30009,-63.8122,Downriver
ROM-000.23,LRH15,LR,2015,2,213,2015-08-01,River,50.30076,-63.81276,Downriver
NA,LR49,LR,2016,1,154,2016-06-02,HeadwaterLakes,52.35835,-63.9938,HeadwaterLakes
NA,LR50,LR,2016,1,154,2016-06-02,HeadwaterLakes,52.12788,-63.70666,HeadwaterLakes
NA,LR51,LR,2016,1,154,2016-06-02,HeadwaterLakes,52.05113,-63.70082,HeadwaterLakes
NA,LR52,LR,2016,1,155,2016-06-03,HeadwaterLakes,52.0863,-63.83093,HeadwaterLakes
NA,LR53,LR,2016,1,155,2016-06-03,River,52.05905,-63.84372,Upriver
NA,LR53.1,LR,2016,1,155,2016-06-03,River,52.0545,-63.83554,Upriver
NA,LR53.2,LR,2016,1,155,2016-06-03,River,52.05183,-63.83467,Upriver
NA,LR53.3,LR,2016,1,155,2016-06-03,River,52.04757,-63.8327,Upriver
NA,LR54,LR,2016,1,155,2016-06-03,River,51.97409,-63.77726,Upriver
NA,LR54.1,LR,2016,1,155,2016-06-03,River,51.96431,-63.77349,Upriver
NA,LR54.2,LR,2016,1,155,2016-06-03,River,51.90446,-63.79842,Upriver
NA,LR54.3,LR,2016,1,155,2016-06-03,River,51.90772,-63.81241,Upriver
NA,LR54.4,LR,2016,1,155,2016-06-03,River,51.8483,-63.75907,Upriver
NA,LR54.5,LR,2016,1,155,2016-06-03,River,51.84408,-63.75071,Upriver
NA,LR55,LR,2016,1,157,2016-06-05,River,51.77992,-63.71551,Upriver
NA,LR56,LR,2016,1,157,2016-06-05,River,51.70283,-63.71917,Upriver
NA,LR56.1,LR,2016,1,157,2016-06-05,River,51.70255,-63.71982,Upriver
NA,LR56.2,LR,2016,1,157,2016-06-05,River,51.54156,-63.73735,Upriver
NA,LR56.3,LR,2016,1,157,2016-06-05,River,51.53574,-63.74422,Upriver
NA,LR56.4,LR,2016,1,157,2016-06-05,River,51.39212,-63.74738,Upriver
NA,LR57,LR,2016,1,161,2016-06-09,River,50.38105,-63.26677,Downriver
NA,LR57.1,LR,2016,1,161,2016-06-09,River,50.35773,-63.26681,Downriver
NA,LR58,LR,2016,1,161,2016-06-09,River,50.32945,-63.29131,Downriver
NA,LR59,LR,2016,1,161,2016-06-09,River,50.32291,-63.36477,Downriver
NA,LR59.1,LR,2016,1,161,2016-06-09,River,50.32308,-63.36179,Downriver
NA,LR60,LR,2016,1,161,2016-06-09,River,50.30492,-63.58691,Downriver
NA,LR61,LR,2016,1,161,2016-06-09,River,50.31145,-63.48157,Downriver
NA,LR62,LR,2016,1,161,2016-06-09,River,50.317449,-63.31067,Downriver
NA,LR63,LR,2016,1,163,2016-06-11,River,51.38269,-63.58594,Upriver
NA,LR64,LR,2016,1,163,2016-06-11,River,51.30358,-63.39372,Upriver
NA,LR65,LR,2016,1,163,2016-06-11,River,51.27259,-63.35046,Upriver
NA,LR65.1,LR,2016,1,163,2016-06-11,River,51.27213,-63.35024,Upriver
NA,LR66,LR,2016,1,164,2016-06-12,River,51.18214,-63.36409,Upriver
NA,LR67,LR,2016,1,166,2016-06-14,River,50.3096,-63.6232,Downriver
NA,LR67.1,LR,2016,1,166,2016-06-14,River,50.30902,-63.62474,Downriver
NA,LR67.2,LR,2016,1,166,2016-06-14,River,50.31002,-63.62158,Downriver
NA,LR67.3,LR,2016,1,166,2016-06-14,River,50.30859,-63.63934,Downriver
NA,LR67.4,LR,2016,1,166,2016-06-14,River,50.3033,-63.66057,Downriver
NA,LR67.5,LR,2016,1,166,2016-06-14,River,50.30596,-63.71086,Downriver
NA,LR67.6,LR,2016,1,166,2016-06-14,River,50.32449,-63.74258,Downriver
NA,LR68,LR,2016,1,166,2016-06-14,River,50.31653,-63.76784,Downriver
NA,LR69,LR,2016,2,219,2016-08-06,River,50.32419,-63.36647,Downriver
NA,LR69.1,LR,2016,2,219,2016-08-06,River,50.32837,-63.36567,Downriver
NA,LR69.2,LR,2016,2,219,2016-08-06,River,50.309,-63.345,Downriver
NA,LR69.3,LR,2016,2,219,2016-08-06,River,50.31707,-63.3116,Downriver
NA,LR70,LR,2016,2,219,2016-08-06,River,50.32811,-63.28559,Downriver
NA,LR70.1,LR,2016,2,219,2016-08-06,River,50.35756,-63.2673,Downriver
NA,LR71,LR,2016,2,219,2016-08-06,River,50.38126,-63.26665,Downriver
NA,LR71.1,LR,2016,2,219,2016-08-06,River,50.37835,-63.26604,Downriver
NA,LR72,LR,2016,2,222,2016-08-09,HeadwaterLakes,52.35541,-63.99129,HeadwaterLakes
NA,LR73,LR,2016,2,224,2016-08-11,HeadwaterLakes,52.087,-63.83802,HeadwaterLakes
NA,LR74,LR,2016,2,224,2016-08-11,HeadwaterLakes,52.05544,-63.68134,HeadwaterLakes
NA,LR75,LR,2016,2,224,2016-08-11,River,50.36592,-63.58032,Downriver
NA,LR76,LR,2016,2,224,2016-08-11,River,50.31158,-63.48806,Downriver
NA,LR78,LR,2016,2,227,2016-08-14,River,52.0563,-63.84025,Upriver
NA,LR78.1,LR,2016,2,227,2016-08-14,River,52.05368,-63.83506,Upriver
NA,LR78.2,LR,2016,2,227,2016-08-14,River,52.05176,-63.83448,Upriver
NA,LR79,LR,2016,2,227,2016-08-14,River,51.97254,-63.7764,Upriver
NA,LR79.1,LR,2016,2,227,2016-08-14,River,51.97003,-63.77479,Upriver
NA,LR79.2,LR,2016,2,227,2016-08-14,River,51.96289,-63.77242,Upriver
NA,LR80,LR,2016,2,227,2016-08-14,River,51.65284,-63.71143,Upriver
NA,LR80.1,LR,2016,2,227,2016-08-14,River,51.65123,-63.71127,Upriver
NA,LR80.2,LR,2016,2,227,2016-08-14,River,51.64958,-63.71027,Upriver
NA,LR81,LR,2016,2,228,2016-08-15,River,51.38453,-63.58796,Upriver
NA,LR81.1,LR,2016,2,228,2016-08-15,River,51.3836,-63.58709,Upriver
NA,LR82,LR,2016,2,228,2016-08-15,River,51.30368,-63.39272,Upriver
NA,LR82.1,LR,2016,2,228,2016-08-15,River,51.30305,-63.39107,Upriver
NA,LR83,LR,2016,2,228,2016-08-15,River,51.25053,-63.34344,Upriver
NA,LR83.1,LR,2016,2,228,2016-08-15,River,51.24971,-63.34353,Upriver
NA,LR84,LR,2016,2,228,2016-08-15,River,51.18727,-63.36077,Upriver
NA,LR84.1,LR,2016,2,228,2016-08-15,River,51.18705,-63.36074,Upriver
NA,LR85,LR,2016,2,229,2016-08-16,River,50.30941,-63.62207,Downriver
NA,LR85.1,LR,2016,2,229,2016-08-16,River,50.30907,-63.63949,Downriver
NA,LR85.2,LR,2016,2,229,2016-08-16,River,50.30453,-63.65939,Downriver
NA,LR85.3,LR,2016,2,229,2016-08-16,River,50.30895,-63.70796,Downriver
NA,LR85.4,LR,2016,2,229,2016-08-16,River,50.31747,-63.7329,Downriver
